Unnamed: 0,match_id,date,match_type,event_name,innings,batting_team,bowling_team,over,ball,ball_no,batter,bat_pos,runs_batter,balls_faced,bowler,valid_ball,runs_extras,runs_total,runs_bowler,runs_not_boundary,extra_type,non_striker,non_striker_pos,wicket_kind,player_out,fielders,runs_target,review_batter,team_reviewed,review_decision,umpire,umpires_call,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,day,month,year,season,gender,team_type,superover_winner,result_type,method,balls_per_over,overs,event_match_no,stage,match_number,team_runs,team_balls,team_wicket,new_batter,power_surge_start,batter_runs,batter_balls,bowler_wicket,batting_partners,next_batter,striker_out
42460,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,0,1,0.1,RG Sharma,1,4,1,DL Chahar,1,0,4,4,False,,Q de Kock,2,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,4,1,0,,,4,1,0,"('Q de Kock', 'RG Sharma')",,False
42461,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,0,2,0.2,RG Sharma,1,1,1,DL Chahar,1,0,1,1,False,,Q de Kock,2,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,5,2,0,,,5,2,0,"('Q de Kock', 'RG Sharma')",,False
42462,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,0,3,0.3,Q de Kock,2,2,1,DL Chahar,1,0,2,2,False,,RG Sharma,1,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,7,3,0,,,2,1,0,"('Q de Kock', 'RG Sharma')",,False
42463,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,0,4,0.4,Q de Kock,2,4,1,DL Chahar,1,0,4,4,False,,RG Sharma,1,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,11,4,0,,,6,2,0,"('Q de Kock', 'RG Sharma')",,False
42464,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,0,5,0.5,Q de Kock,2,0,1,DL Chahar,1,0,0,0,False,,RG Sharma,1,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,11,5,0,,,6,3,0,"('Q de Kock', 'RG Sharma')",,False
42465,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,0,6,0.6,Q de Kock,2,1,1,DL Chahar,1,0,1,1,False,,RG Sharma,1,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,12,6,0,,,7,4,0,"('Q de Kock', 'RG Sharma')",,False
42466,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,1,1,1.1,Q de Kock,2,0,1,SM Curran,1,0,0,0,False,,RG Sharma,1,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,12,7,0,,,7,5,0,"('Q de Kock', 'RG Sharma')",,False
42467,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,1,2,1.2,Q de Kock,2,0,1,SM Curran,1,0,0,0,False,,RG Sharma,1,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,12,8,0,,,7,6,0,"('Q de Kock', 'RG Sharma')",,False
42468,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,1,3,1.3,Q de Kock,2,1,1,SM Curran,1,0,1,1,False,,RG Sharma,1,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,13,9,0,,,8,7,0,"('Q de Kock', 'RG Sharma')",,False
42469,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,1,4,1.4,RG Sharma,1,4,1,SM Curran,1,0,4,4,False,,Q de Kock,2,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,17,10,0,,,9,3,0,"('Q de Kock', 'RG Sharma')",,False
42470,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,1,5,1.5,RG Sharma,1,1,1,SM Curran,1,0,1,1,False,,Q de Kock,2,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,18,11,0,,,10,4,0,"('Q de Kock', 'RG Sharma')",,False
42471,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,1,6,1.6,Q de Kock,2,1,1,SM Curran,1,0,1,1,False,,RG Sharma,1,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,19,12,0,,,9,8,0,"('Q de Kock', 'RG Sharma')",,False
42472,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,2,1,2.1,Q de Kock,2,1,1,DL Chahar,1,0,1,1,False,,RG Sharma,1,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,20,13,0,,,10,9,0,"('Q de Kock', 'RG Sharma')",,False
42473,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,2,2,2.2,RG Sharma,1,0,1,DL Chahar,1,0,0,0,False,,Q de Kock,2,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,20,14,0,,,10,5,0,"('Q de Kock', 'RG Sharma')",,False
42474,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,2,3,2.3,RG Sharma,1,0,1,DL Chahar,1,0,0,0,False,,Q de Kock,2,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,20,15,0,,,10,6,0,"('Q de Kock', 'RG Sharma')",,False
42475,1216492,2020-09-19,T20,Indian Premier League,1,Mumbai Indians,Chennai Super Kings,2,4,2.4,RG Sharma,1,1,1,DL Chahar,1,0,1,1,False,,Q de Kock,2,,,,,,,,,False,AT Rayudu,Chennai Super Kings,5 wickets,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,19,9,2020,2020/21,male,club,,,,6,20,1,Unknown,Unknown,21,16,0,,,11,7,0,"('Q de Kock', 'RG Sharma')",,False
