Match_ID,Match_Index,Match_Name,Date,Innings_ID,Over_Number,Ball_Number,Batsman_Striker,Bowler,Batting_Team,Runs_Scored,Extra_Runs,Total_Runs,Ball_Length,Ball_Line,Shot_Type,Shot_Direction,Event,Batting_Team_Score,Commentary_Text
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,0.1,1,Travis Head,Jacob Duffy,SRH,0,0,0,Good Length,Outside Off,Unspecified,Point,NONE,0,"Jacob Duffy to Travis Head, no run, on a length outside off, shapes back in slightly as Travis Head steers it towards point"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,0.2,2,Travis Head,Jacob Duffy,SRH,1,0,1,Good Length,Down Leg,Flick/Glance,Fine Leg,NONE,1,"Jacob Duffy to Travis Head, 1 run, on a length around leg, Travis Head swings early and the inside edge flicks his pads and rolls towards short fine leg. First run of the match"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,0.3,3,Abhishek Sharma,Jacob Duffy,SRH,0,0,0,Good Length,Outside Off,Unspecified,Unspecified,UDRS,1,"Jacob Duffy to Abhishek Sharma, no run, B0$ RCB lose a review in the first over of the match. A back of a length delivery outside off, shapes back away as Abhishek Sharma gets beaten on the outside edge. UltraEdge confirms the same as the bowler starts walking back to his run-up mark"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,0.4,4,Abhishek Sharma,Jacob Duffy,SRH,6,0,6,Good Length,Wide Outside Off,Unspecified,Backward Point,SIX,7,"Jacob Duffy to Abhishek Sharma, B0$, B1$ Full and wide outside off, Abhishek Sharma reaches out for it with a slice, gets enough elevation as the ball flies over the fielder at deep backward point. He's off the mark in style"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,0.5,5,Abhishek Sharma,Jacob Duffy,SRH,0,0,0,Good Length,Outside Off,Unspecified,Unspecified,NONE,7,"Jacob Duffy to Abhishek Sharma, no run, good length delivery outside off, Abhishek Sharma has a swing and a miss. Got beaten due to the movement"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,0.6,6,Abhishek Sharma,Jacob Duffy,SRH,0,0,0,Full Toss,Outside Off,Drive,Covers,over-break,7,"Jacob Duffy to Abhishek Sharma, no run, that's a juicy full toss outside off, Abhishek Sharma plays a well-timed cover drive, but straight to the fielder stationed at cover-point"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,1.1,7,Travis Head,Bhuvneshwar Kumar,SRH,1,0,1,Good Length,Down Leg,Flick/Glance,Leg Side,NONE,8,"Bhuvneshwar Kumar to Travis Head, 1 run, good length delivery around middle and leg, Travis Head clips it through the leg-side for a single"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,1.2,8,Abhishek Sharma,Bhuvneshwar Kumar,SRH,1,0,1,Good Length,Outside Off,Unspecified,Covers,NONE,9,"Bhuvneshwar Kumar to Abhishek Sharma, 1 run, advances down the wicket and knocks the length delivery in front of cover-point for a quick run"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,1.3,9,Travis Head,Bhuvneshwar Kumar,SRH,1,0,1,Good Length,Outside Off,Unspecified,Third Man,NONE,10,"Bhuvneshwar Kumar to Travis Head, 1 run, short of a length outside off, shaping away from the batter as Travis Head runs it down to third man for one"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,1.4,10,Abhishek Sharma,Bhuvneshwar Kumar,SRH,0,1,1,Good Length,Down Leg,Unspecified,Leg Side,NONE,11,"Bhuvneshwar Kumar to Abhishek Sharma, B0$, fired down the leg-side by Bhuvneshwar Kumar on the shorter side, called a wide by the umpire"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,1.4,10,Abhishek Sharma,Bhuvneshwar Kumar,SRH,0,0,0,Good Length,Down Leg,Scoop/Ramp,Unspecified,NONE,11,"Bhuvneshwar Kumar to Abhishek Sharma, no run, short and quick around leg, Abhishek Sharma gets cramped for room as he looks to swipe this away, gets hit on the thigh pad as the ball lobs towards the keeper"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,1.5,11,Abhishek Sharma,Bhuvneshwar Kumar,SRH,0,1,1,Good Length,Down Leg,Unspecified,Leg Side,NONE,12,"Bhuvneshwar Kumar to Abhishek Sharma, B0$, on the shorter side and down the leg-side, another loose delivery by Bhuvneshwar Kumar. Jitesh Sharma had to move across by a long way to gather this, it was so wayward"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,1.5,11,Abhishek Sharma,Bhuvneshwar Kumar,SRH,0,1,1,Good Length,Down Leg,Scoop/Ramp,Leg Side,NONE,13,"Bhuvneshwar Kumar to Abhishek Sharma, leg byes, 1 run, cramped up for room again, off the thigh pad towards the leg-side as they take a leg bye"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,1.6,12,Travis Head,Bhuvneshwar Kumar,SRH,4,0,4,Good Length,Down Leg,Unspecified,Fine Leg,"over-break,FOUR",17,"Bhuvneshwar Kumar to Travis Head, B0$, B1$ Just the kind of luck you need to get going in this tournament. Back of a length delivery around off, was too close to the body, Travis Head looks to slice it away and gets an inside edge that misses the stumps and races away to the fine leg boundary"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,2.1,13,Abhishek Sharma,Jacob Duffy,SRH,0,1,1,Good Length,Down Leg,Unspecified,Leg Side,NONE,18,"Jacob Duffy to Abhishek Sharma, B0$, yet another wide. They have bowled too many wides already. Another wayward ball down the leg-side"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,2.1,13,Abhishek Sharma,Jacob Duffy,SRH,0,0,0,Short/Bouncer,Stumps Line,Pull/Hook,Point,WICKET,18,"Jacob Duffy to Abhishek Sharma, B0$ Caught by Jitesh Sharma!! Abhishek's poor run continues. He hasn't been at his best since a couple of months. This was a short ball by Jacob Duffy and Abhishek Sharma got hurried up due to the pace. He goes for a pull, losing his shape in the process. A thick top edge is induced and Jitesh calls for it and circles under the skier to complete a safe catch. A disappointing start for the destructive opener in IPL 2026. B1$,"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,2.2,14,Ishan Kishan,Jacob Duffy,SRH,1,0,1,Good Length,Wide Outside Off,Unspecified,Backward Point,NONE,19,"Jacob Duffy to Ishan Kishan, 1 run, short and wide outside off, steered away through backward point"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,2.3,15,Travis Head,Jacob Duffy,SRH,0,0,0,Good Length,Outside Off,Drive,Covers,NONE,19,"Jacob Duffy to Travis Head, no run, on a length outside off, punched towards cover by Travis Head"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,2.4,16,Travis Head,Jacob Duffy,SRH,0,0,0,Good Length,Stumps Line,Unspecified,Unspecified,NONE,19,"Jacob Duffy to Travis Head, no run, short of a length around off, shapes back in and skids along the deck, Travis Head looks to swipe it across the line, gets beaten on the inside edge"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,2.5,17,Travis Head,Jacob Duffy,SRH,4,0,4,Good Length,Outside Off,Unspecified,Mid-Off,FOUR,23,"Jacob Duffy to Travis Head, B0$, stand and deliver! On a length outside off, tad slower, Travis Head stays put and thumps it over mid-off. Didn't middle it to perfection, otherwise this would have sailed over the boundary. Good strike, nevertheless"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,2.6,18,Travis Head,Jacob Duffy,SRH,0,0,0,Short/Bouncer,Down Leg,Pull/Hook,Square Leg,"over-break,WICKET",23,"Jacob Duffy to Travis Head, B0$ Caught by Phil Salt!! Two wickets in the over for Jacob Duffy. What a superb debut for him for RCB already. A short ball by the pacer, Travis Head goes for a flat pull and Phil Salt at deep backward square leg takes a well-judged reverse cup catch. Both the destructive openers are back to the pavilion within the powerplay. The crowd at Chinnaswamy is absolutely loving this. B1$,"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,3.1,19,Ishan Kishan,Bhuvneshwar Kumar,SRH,4,0,4,Good Length,Outside Off,Drive,Covers,FOUR,27,"Bhuvneshwar Kumar to Ishan Kishan, B0$, sublime timing! Back of a length outside off, Ishan Kishan stands tall and punches this through cover-point. Finds the gap as the ball absolutely races away to the fence"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,3.2,20,Ishan Kishan,Bhuvneshwar Kumar,SRH,1,0,1,Back of a Length,Outside Off,Unspecified,Covers,NONE,28,"Bhuvneshwar Kumar to Ishan Kishan, 1 run, tad short outside off, Ishan Kishan rides the bounce and pats it in front of cover-point. Takes a quick run"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,3.3,21,Nitish Kumar Reddy,Bhuvneshwar Kumar,SRH,0,0,0,Good Length,Outside Off,Unspecified,Unspecified,NONE,28,"Bhuvneshwar Kumar to Nitish Reddy, no run, lovely delivery by Bhuvneshwar Kumar outside off, shaping away from the batter who feels for it and almost nicks it behind"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,3.4,22,Nitish Kumar Reddy,Bhuvneshwar Kumar,SRH,0,0,0,Good Length,Stumps Line,Unspecified,Off Side,NONE,28,"Bhuvneshwar Kumar to Nitish Reddy, no run, good length delivery around off, skids along the deck as Nitish Kumar Reddy taps it into the off-side"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,3.5,23,Nitish Kumar Reddy,Bhuvneshwar Kumar,SRH,0,0,0,Good Length,Wide Outside Off,Cut,Point,NONE,28,"Bhuvneshwar Kumar to Nitish Reddy, no run, short and wide outside off, Nitish Kumar Reddy cuts it towards point where Duffy puts in a dive to his left and grabs it"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,3.6,24,Nitish Kumar Reddy,Bhuvneshwar Kumar,SRH,1,0,1,Good Length,Down Leg,Flick/Glance,Mid-Wicket,over-break,29,"Bhuvneshwar Kumar to Nitish Reddy, 1 run, back of a length around middle and leg, clips it towards mid-wicket for a single to end the over"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,4.1,25,Nitish Kumar Reddy,Jacob Duffy,SRH,0,0,0,Back of a Length,Stumps Line,Unspecified,Point,NONE,29,"Jacob Duffy to Nitish Reddy, no run, tad short around off, some sharp carry as Nitish Kumar Reddy pats it towards point"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,4.2,26,Nitish Kumar Reddy,Jacob Duffy,SRH,0,0,0,Good Length,Stumps Line,Unspecified,Mid-Wicket,WICKET,29,"Jacob Duffy to Nitish Reddy, B0$ Caught by Abhinandan Singh!! This is a dream debut for Jacob Duffy. He goes short, he goes quick and the batter gets hurried. Tries to go across the line, swings with lack of footwork and the top edge has been taken at mid-wicket. Abhinandan takes it stylishly and throws the ball away in swagger. Sunrisers Hyderabad in a spot of bother at the Chinnaswamy. They are three down within the powerplay.. B1$,"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,4.3,27,Heinrich Klaasen,Jacob Duffy,SRH,0,0,0,Back of a Length,Outside Off,Unspecified,Unspecified,NONE,29,"Jacob Duffy to Heinrich Klaasen, no run, fraction short outside off, shaping away from Heinrich Klaasen who lets it through to the keeper"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,4.4,28,Heinrich Klaasen,Jacob Duffy,SRH,3,0,3,Good Length,Outside Off,Drive,Covers,NONE,32,"Jacob Duffy to Heinrich Klaasen, 3 runs, on a length outside off, Heinrich Klaasen drives this through covers, finds the gap and opens his account. Three runs to get going"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,4.5,29,Ishan Kishan,Jacob Duffy,SRH,1,0,1,Back of a Length,Outside Off,Unspecified,Backward Point,NONE,33,"Jacob Duffy to Ishan Kishan, 1 run, fraction short outside off, some extra carry as Ishan Kishan steers this through backward point for one"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,4.6,30,Heinrich Klaasen,Jacob Duffy,SRH,0,0,0,Good Length,Body Line,Flick/Glance,Unspecified,over-break,33,"Jacob Duffy to Heinrich Klaasen, no run, end of another fantastic over by Jacob Duffy. Drifting on the pads as Heinrich Klaasen clips it with soft hands towards the on-side"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,5.1,31,Ishan Kishan,Abhinandan Singh,SRH,0,0,0,Good Length,Down Leg,Pull/Hook,Square Leg,NONE,33,"Abhinandan Singh to Ishan Kishan, no run, short, quick and at the body. Ishan Kishan loses his shape while going for the pull shot, miscues it towards square leg, but it just falls in front of the fielder stationed there"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,5.2,32,Ishan Kishan,Abhinandan Singh,SRH,6,0,6,Short/Bouncer,Down Leg,Pull/Hook,Square Leg,SIX,39,"Abhinandan Singh to Ishan Kishan, B0$, that's the kind of form he has been in. More like it. A short ball on leg, Ishan Kishan picks the length early and pulls it over deep backward square leg for a 89m maximum. SRH need their captain to play with a similar intent tonight"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,5.3,33,Ishan Kishan,Abhinandan Singh,SRH,4,0,4,Good Length,Stumps Line,Pull/Hook,Mid-Wicket,FOUR,43,"Abhinandan Singh to Ishan Kishan, B0$, more runs! Banged in short by Abhinandan Singh, Ishan Kishan goes for a pull over mid-wicket and manages to beat Duffy's chase. He put in a dive in the deep, but couldn't quite get there"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,5.4,34,Ishan Kishan,Abhinandan Singh,SRH,6,0,6,Good Length,Outside Off,Cut,Third Man,SIX,49,"Abhinandan Singh to Ishan Kishan, B0$, Abhinandan Singh proving to be very expensive in his first over. This was a short and quick delivery outside off, Ishan Kishan slashes hard at it and the top edge flies right over third man. Hits the ad hoardings beyond the boundary"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,5.5,35,Ishan Kishan,Abhinandan Singh,SRH,0,0,0,Full Toss,Stumps Line,Unspecified,Off Side,NONE,49,"Abhinandan Singh to Ishan Kishan, no run, that was a juicy full toss, Ishan Kishan slices it away, but can't beat the fielder stationed inside the circle on the off-side"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,5.6,36,Ishan Kishan,Abhinandan Singh,SRH,0,0,0,Good Length,Down Leg,Flick/Glance,Mid-Wicket,"over-break,HIGHSCORING_OVER",49,"Abhinandan Singh to Ishan Kishan, no run, B0$ Back of a length around middle and leg, nudged towards mid-wicket by Ishan Kishan"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,6.1,37,Heinrich Klaasen,Jacob Duffy,SRH,1,0,1,Short/Bouncer,Stumps Line,Pull/Hook,Mid-Wicket,TEAM_FIFTY,50,"Jacob Duffy to Heinrich Klaasen, 1 run, a short ball by Jacob Duffy and Heinrich Klaasen has pulled it towards deep mid-wicket on the bounce"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,6.2,38,Ishan Kishan,Jacob Duffy,SRH,1,0,1,Good Length,Outside Off,Unspecified,Third Man,NONE,51,"Jacob Duffy to Ishan Kishan, 1 run, Jacob Duffy goes short outside off, Ishan Kishan rides the bounce, steering it towards third man for one"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,6.3,39,Heinrich Klaasen,Jacob Duffy,SRH,1,0,1,Back of a Length,Outside Off,Unspecified,Covers,NONE,52,"Jacob Duffy to Heinrich Klaasen, 1 run, fraction short outside off, Heinrich Klaasen steers it through cover-point for one"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,6.4,40,Ishan Kishan,Jacob Duffy,SRH,1,0,1,Good Length,Stumps Line,Defense,Third Man,NONE,53,"Jacob Duffy to Ishan Kishan, 1 run, short of a length around off, Kishan looks to defend, gets an inside edge onto the thigh pad, the ball rolls towards short third"
149618,1,ROYAL CHALLENGERS BENGALURU VS SUNRISERS HYDERABAD,2026-03-28,1,6.5,41,Heinrich Klaasen,Jacob Duffy,SRH,0,0,0,Good Length,Stumps Line,Flick/Glance,Straight,NONE,53,"Jacob Duffy to Heinrich Klaasen, no run, almost another wicket! Heinrich Klaasen closes the bat face early and looks to nudge this away, ends up getting a leading edge for being early in his shot. The leading edge flies straight back to the bowler, and lands just in front of him"
